藪の中	名詞	普通名詞	一般	*	*	*	ヤブノナカ	藪の中	藪の中	ヤブノナカ	ヤブノナカ	和	藪の中	ヤブノナカ	ヤブノナカ	ヤブノナカ	*	*	*	*	*	*	4	C1	*
芥川	名詞	固有名詞	人名	姓	*	*	アクタガワ	アクタガワ	芥川	アクタガワ	アクタガワ	固	芥川	アクタガワ	アクタガワ	アクタガワ	*	*	*	*	*	*	3	*	*
龍之介	名詞	固有名詞	人名	名	*	*	リュウノスケ	リュウノスケ	龍之介	リューノスケ	リュウノスケ	固	龍之介	リューノスケ	リュウノスケ	リュウノスケ	*	*	*	*	*	*	0	*	*
檢非違使	名詞	普通名詞	一般	*	*	*	ケビイシ	検非違使	檢非違使	ケビイシ	ケビイシ	漢	檢非違使	ケビイシ	ケビイシ	ケビイシ	*	*	*	*	*	*	2	C1	*
に	助詞	格助詞	*	*	*	*	ニ	に	に	ニ	ニ	和	に	ニ	ニ	ニ	*	*	*	*	*	*	*	名詞%F1	*
問は	動詞	一般	*	*	文語四段-ハ行	未然形-一般	トウ	問う	問は	トワ	トハ	和	問ふ	トウ	トフ	トウ	*	*	*	*	*	*	"0	1"	C2	*
れ	助動詞	*	*	*	文語下二段-ラ行	連用形-一般	レル	れる	れ	レ	レ	和	る	ル	ル	ル	*	*	*	*	*	*	*	動詞%F3@0	*
たる	助動詞	*	*	*	文語助動詞-タリ-完了	連体形-一般	タリ	たり-完了	たる	タル	タル	和	たり	タリ	タリ	タリ	*	*	*	*	*	*	*	"動詞%F6@1	-1	形容詞%F2@-2"	*
木樵	名詞	普通名詞	一般	*	*	*	キコリ	木こり	木樵	キコリ	キコリ	和	木樵	キコリ	キコリ	キコリ	*	*	*	*	*	*	"0	3"	C2	*
り	助動詞	*	*	*	文語助動詞-リ	終止形-一般	リ	り	り	リ	リ	和	り	リ	リ	リ	*	*	*	*	*	*	*	動詞%F4@0	*
の	助詞	格助詞	*	*	*	*	ノ	の	の	ノ	ノ	和	の	ノ	ノ	ノ	*	*	*	*	*	*	*	名詞%F1	*
物語	名詞	普通名詞	一般	*	*	*	モノガタリ	物語	物語	モノガタリ	モノガタリ	和	物語	モノガタリ	モノガタリ	モノガタリ	*	*	*	*	*	*	3	C1	*
　	空白	*	*	*	*	*		　	　			記号	　				*	*	*	*	*	*	*	*	*
さ	副詞	*	*	*	*	*	サ	然	さ	サ	サ	和	さ	サ	サ	サ	*	*	*	*	*	*	1	*	*
やう	形状詞	助動詞語幹	*	*	*	*	ヨウ	様	やう	ヨー	ヤウ	漢	やう	ヨー	ヤウ	ヨウ	*	*	*	*	*	*	1	C3	*
で	助動詞	*	*	*	助動詞-ダ	連用形-一般	ダ	だ	で	デ	デ	和	だ	ダ	ダ	ダ	*	*	*	*	*	*	*	名詞%F1	*
ござい	動詞	非自立可能	*	*	五段-ラ行	連用形-イ音便	ゴザル	御座る	ござい	ゴザイ	ゴザイ	混	ござる	ゴザル	ゴザル	ゴザル	*	*	*	*	*	*	2	C1	*
ます	助動詞	*	*	*	助動詞-マス	終止形-一般	マス	ます	ます	マス	マス	和	ます	マス	マス	マス	*	*	*	*	*	*	*	動詞%F4@1	*
。	補助記号	句点	*	*	*	*		。	。			記号	。				*	*	*	*	*	*	*	*	*
あの	連体詞	*	*	*	*	*	アノ	彼の	あの	アノ	アノ	和	あの	アノ	アノ	アノ	*	*	*	*	*	*	0	*	*
死骸	名詞	普通名詞	一般	*	*	*	シガイ	死骸	死骸	シガイ	シガイ	漢	死骸	シガイ	シガイ	シガイ	*	*	*	*	*	*	0	C2	*
を	助詞	格助詞	*	*	*	*	ヲ	を	を	オ	ヲ	和	を	オ	ヲ	ヲ	*	*	*	*	*	*	*	"動詞%F2@0	名詞%F1	形容詞%F2@-1"	*
見つけ	動詞	一般	*	*	文語下二段-カ行	連用形-一般	ミツケル	見付ける	見つけ	ミツケ	ミツケ	和	見つく	ミツク	ミツク	ミツク	*	*	*	*	*	*	0	C2	*
た	助動詞	*	*	*	助動詞-タ	連体形-一般	タ	た	た	タ	タ	和	た	タ	タ	タ	*	*	*	*	*	*	*	"動詞%F2@1	形容詞%F4@-2"	*
の	助詞	準体助詞	*	*	*	*	ノ	の	の	ノ	ノ	和	の	ノ	ノ	ノ	*	*	*	*	*	*	*	"動詞%F2@0	形容詞%F2@-1"	*
は	助詞	係助詞	*	*	*	*	ハ	は	は	ワ	ハ	和	は	ワ	ハ	ハ	*	*	*	*	*	*	*	"動詞%F2@0	名詞%F1	形容詞%F2@-1"	*
、	補助記号	読点	*	*	*	*		、	、			記号	、				*	*	*	*	*	*	*	*	*
わたし	代名詞	*	*	*	*	*	ワタシ	私	わたし	ワタシ	ワタシ	和	わたし	ワタシ	ワタシ	ワタシ	*	*	*	*	*	*	0	*	*
に	助詞	格助詞	*	*	*	*	ニ	に	に	ニ	ニ	和	に	ニ	ニ	ニ	*	*	*	*	*	*	*	名詞%F1	*
違ひ	動詞	一般	*	*	文語四段-ハ行	連用形-一般	タガウ	違う	違ひ	タガイ	タガヒ	和	違ふ	タガウ	タガフ	タガウ	*	*	*	*	*	*	2	C1	*
ござい	動詞	非自立可能	*	*	五段-ラ行	連用形-イ音便	ゴザル	御座る	ござい	ゴザイ	ゴザイ	混	ござる	ゴザル	ゴザル	ゴザル	*	*	*	*	*	*	2	C1	*
ませ	助動詞	*	*	*	助動詞-マス	未然形-一般	マス	ます	ませ	マセ	マセ	和	ます	マス	マス	マス	*	*	*	*	*	*	*	動詞%F4@1	*
ん	助動詞	*	*	*	助動詞-ヌ	終止形-撥音便	ズ	ず	ん	ン	ン	和	ぬ	ヌ	ヌ	ヌ	*	*	*	*	*	*	*	動詞%F4@0	*
。	補助記号	句点	*	*	*	*		。	。			記号	。				*	*	*	*	*	*	*	*	*
わたし	代名詞	*	*	*	*	*	ワタシ	私	わたし	ワタシ	ワタシ	和	わたし	ワタシ	ワタシ	ワタシ	*	*	*	*	*	*	0	*	*
